Code,Fertility
ABW,1.901
AFE,4.28185576301786
AFG,4.176
AFW,4.9765459267046
AGO,5.371
ALB,1.58
AND,
ARB,3.14575669988306
ARE,1.369
ARG,2.233
ARM,1.76
ASM,
ATG,1.978
AUS,1.581
AUT,1.44
AZE,1.7
BDI,5.237
BEL,1.55
BEN,4.7
BFA,5.029
BGD,1.987
BGR,1.56
BHR,1.942
BHS,1.733
BIH,1.243
BLR,1.382
BLZ,2.246
BMU,1.3
BOL,2.651
BRA,1.706
BRB,1.628
BRN,1.796
BTN,1.931
BWA,2.796
CAF,4.568
CAN,1.4
CEB,1.51089254460643
CHE,1.46
CHI,1.512
CHL,1.611
CHN,1.7
CIV,4.536
CMR,4.443
COD,5.718
COG,4.321
COL,1.771
COM,4.073
CPV,2.213
CRI,1.721
CSS,1.96481413970321
CUB,1.59
CUW,1.6
CYM,
CYP,1.313
CZE,1.71
DEU,1.53
DJI,2.627
DMA,
DNK,1.67
DOM,2.299
DZA,2.942
EAP,1.87395016453931
EAR,2.43855631258831
EAS,1.81167211275906
ECA,1.8888430314499
ECS,1.68834852524376
ECU,2.38
EGY,3.236
EMU,1.48528095275557
ERI,3.933
ESP,1.23
EST,1.58
ETH,4.049
EUU,1.49571662656601
FCS,4.34127527659379
FIN,1.37
FJI,2.729
FRA,1.83
FRO,2.3
FSM,2.968
GAB,3.869
GBR,1.56
GEO,2.046
GHA,3.765
GIB,
GIN,4.552
GMB,5.087
GNB,4.331
GNQ,4.346
GRC,1.34
GRD,2.023
GRL,2.019
GTM,2.777
GUM,2.275
GUY,2.418
HIC,1.52019553899999
HKG,0.868
HND,2.394
HPC,4.54348085069892
HRV,1.48
HTI,2.842
HUN,1.56
IBD,2.04787762256527
IBT,2.52158377946186
IDA,3.88663919408969
IDB,4.04242859211934
IDN,2.266
IDX,3.80944844299262
IMN,
IND,2.184
INX,
IRL,1.63
IRN,2.142
IRQ,3.537
ISL,1.72
ISR,2.9
ITA,1.24
JAM,1.95
JOR,2.639
JPN,1.34
KAZ,3.13
KEN,3.365
KGZ,3
KHM,2.453
KIR,3.493
KNA,
KOR,0.837
KWT,2.068
LAC,1.99713169295612
LAO,2.583
LBN,2.06
LBR,4.183
LBY,2.175
LCA,1.411
LCN,1.99043956107434
LDC,3.89154947323566
LIC,4.4947139642459
LIE,1.46
LKA,2.174
LMC,2.6709416314187
LMY,2.52937835965528
LSO,3.07
LTE,1.73635597821745
LTU,1.48
LUX,1.37
LVA,1.55
MAC,1.244
MAF,1.81
MAR,2.353
MCO,
MDA,1.278
MDG,3.976
MDV,1.815
MEA,2.74207247582084
MEX,2.079
MHL,
MIC,2.31727211137624
MKD,1.3
MLI,5.693
MLT,1.13
MMR,2.121
MNA,2.82280981190731
MNE,1.75
MNG,2.834
MNP,
MOZ,4.713
MRT,4.449
MUS,1.44
MWI,4.055
MYS,1.965
NAC,1.61319226967138
NAM,3.293
NCL,1.923
NER,6.735
NGA,5.248
NIC,2.349
NLD,1.55
NOR,1.48
NPL,1.845
NRU,
NZL,1.61
OED,1.62104413709694
OMN,2.783
OSS,2.98323837415618
PAK,3.394
PAN,2.415
PER,2.212
PHL,2.49
PLW,
PNG,3.477
POL,1.38
PRE,4.78704024571869
PRI,0.9
PRK,1.887
PRT,1.4
PRY,2.383
PSE,3.489
PSS,3.45355559887329
PST,1.47615457306949
PYF,1.913
QAT,1.827
ROU,1.6
RUS,1.505
RWA,3.926
SAS,2.33538640371221
SAU,2.238
SDN,4.289
SEN,4.491
SGP,1.1
SLB,4.309
SLE,4.077
SLV,2.002
SMR,
SOM,5.885
SRB,1.48
SSA,4.55567401247347
SSD,4.543
SSF,4.55548205766024
SST,2.81972057328152
STP,4.214
SUR,2.371
SVK,1.57
SVN,1.6
SWE,1.66
SWZ,2.919
SXM,
SYC,2.29
SYR,2.734
TCA,
TCD,5.553
TEA,1.87378516795641
TEC,1.84590208364818
TGO,4.199
THA,1.501
TJK,3.52
TKM,2.701
TLA,2.00124101104072
TLS,3.853
TMN,2.81489276434176
TON,3.481
TSA,2.33538640371221
TSS,4.55548205766024
TTO,1.699
TUN,2.151
TUR,2.039
TUV,
TZA,4.773
UGA,4.703
UKR,1.217
UMC,1.82886723626587
URY,1.952
USA,1.6375
UZB,2.9
VCT,1.854
VEN,2.23
VGB,
VIR,2.03
VNM,2.046
VUT,3.707
WLD,2.38716694271158
WSM,3.785
XKX,1.95
YEM,3.614
ZAF,2.358
ZMB,4.496
ZWE,3.46