country,latestRate
Liechtenstein,100
Greenland,100
Andorra,100
Luxembourg,100
Norway,100
Finland,100
Uzbekistan,99.9952
Latvia,99.8927
Estonia,99.8235
Lithuania,99.8233
Azerbaijan,99.8053
Guam,99.7890
Kazakhstan,99.7878
Poland,99.7874
Tajikistan,99.7811
Armenia,99.7684
Ukraine,99.7641
Georgia,99.7596
Belarus,99.7220
Russia,99.7196
Slovenia,99.7148
Cuba,99.7107
Barbados,99.7000
Turkmenistan,99.6929
Slovakia,99.6000
Palau,99.5240
Kyrgyzstan,99.5013
Tonga,99.3979
Hungary,99.3809
Maldives,99.3210
Croatia,99.2726
Moldova,99.2444
Cyprus,99.0598
Italy,99.0158
Samoa,99.0150
Saint Pierre and Miquelon,99
Monaco,99
Iceland,99
New Zealand,99
Ireland,99
Denmark,99
Switzerland,99
Sweden,99
Belgium,99
Netherlands,99
Australia,99
Canada,99
France,99
United Kingdom,99
Germany,99
Japan,99
United States,99
Trinidad and Tobago,98.9696
Antigua and Barbuda,98.9500
Cayman Islands,98.8678
Romania,98.7570
Montenegro,98.7199
Bosnia and Herzegovina,98.4858
Uruguay,98.4421
Bulgaria,98.3886
Mongolia,98.3676
Marshall Islands,98.2651
Spain,98.1145
Argentina,98.0900
Jordan,98.0144
Serbia,98.0029
Turks and Caicos Islands,98
Bermuda,98
French Polynesia,98
Austria,98
South Korea,97.9659
North Macedonia,97.8438
British Virgin Islands,97.8000
Saint Kitts and Nevis,97.8000
Qatar,97.7571
Costa Rica,97.6472
Albania,97.5539
Aruba,97.5242
American Samoa,97.3442
Israel,97.1000
Montserrat,97
Northern Mariana Islands,97
New Caledonia,96.9378
Singapore,96.7746
Palestine,96.6680
Brunei,96.6565
Chile,96.6275
Philippines,96.6180
China,96.3575
Kuwait,96.1177
Taiwan,96.1000
San Marino,96
Grenada,96
Bahrain,95.7173
Turkey,95.6881
Saint Vincent and the Grenadines,95.6322
Bahamas,95.6000
Suriname,95.5390
Paraguay,95.5361
Indonesia,95.4377
Portugal,95.4281
Venezuela,95.3992
Seychelles,95.3211
Greece,95.2929
Equatorial Guinea,95.1957
Bolivia,95.1419
Panama,95.0382
Niue,95
Anguilla,95
Cook Islands,95
Saudi Arabia,94.8424
Malaysia,94.6370
South Africa,94.5979
Colombia,94.5771
Mexico,94.5456
Ecuador,94.5155
Vietnam,94.5143
Peru,94.3744
Malta,94.0666
Lebanon,94.0511
Dominica,94
Thailand,93.9830
Oman,93.9716
Fiji,93.7000
Hong Kong,93.5000
Puerto Rico,93.3294
Myanmar,93.0901
United Arab Emirates,92.9864
Sri Lanka,92.6142
Brazil,92.5868
Dominican Republic,92.4654
Sao Tome and Principe,91.7471
Libya,91.3889
Namibia,90.8205
Mauritius,90.6160
Saint Lucia,90.1000
Micronesia,89
Jamaica,88.4999
Cape Verde,88.4654
Honduras,88.4246
Botswana,88.2244
El Salvador,87.6482
Guyana,87.5353
Eswatini,87.4702
Iran,87.1725
Zimbabwe,86.8735
Syria,86.3039
Burundi,85.4961
Zambia,85.1173
Vanuatu,85.0587
Solomon Islands,84.1000
Gabon,83.2379
Belize,82.7768
Nicaragua,82.4718
Tunisia,81.0542
Tanzania,80.3595
Gibraltar,80
Laos,79.8675
Iraq,79.7218
Algeria,79.6084
Lesotho,79.3609
Guatemala,79.0742
Cambodia,78.3459
Comoros,78.1374
Kenya,78.0234
DR Congo,77.2217
Ghana,76.5759
Egypt,75.8426
Cameroon,74.9856
Eritrea,73.8453
Uganda,73.8098
India,72.2253
Morocco,71.7105
Rwanda,71.2435
Angola,71.1642
Yemen,69.9620
Djibouti,67.9000
Togo,66.5376
Malawi,65.9638
Nepal,64.6636
Madagascar,64.6563
Bhutan,63.9068
Papua New Guinea,63.4335
Bangladesh,61.4938
Haiti,60.6893
Guinea-Bissau,59.7728
Nigeria,59.5681
Mozambique,58.8366
Sudan,58.6013
Pakistan,56.4403
Senegal,55.6249
Gambia,55.5728
Mauritania,52.1236
Wallis and Futuna,50
Ethiopia,49.0315
Sierra Leone,48.4319
Liberia,47.6001
Ivory Coast,43.2653
Chad,40.0182
Benin,38.4471
Afghanistan,38.1680
Somalia,37.8000
Burkina Faso,37.7467
Central African Republic,36.7526
Mali,33.0689
South Sudan,31.9763
Guinea,30.4728
Niger,19.1026